mae,rmse,mape,model,origin,destination,route
159.55925495098214,170.73129462891248,14.984717406778062,mlp,ZRH,Bologna,ZRH-Bologna
112.71205409839456,154.44691665717178,39.73805312402463,random_forest,ZRH,Santa Cruz De La Palma,ZRH-Santa Cruz De La Palma
108.22238413492839,157.07246062949415,33.38508390029,xgboost,ZRH,Santa Cruz De La Palma,ZRH-Santa Cruz De La Palma
103.24947957704582,132.7770620301356,37.21076439692257,mlp,ZRH,Santa Cruz De La Palma,ZRH-Santa Cruz De La Palma
1624.1605007635596,1817.589324957375,77.62233234477443,random_forest,GVA,Birmingham International,GVA-Birmingham International
1693.1545003255208,1893.1271555232552,80.9896527546315,xgboost,GVA,Birmingham International,GVA-Birmingham International
679.5328543457694,1257.478403422347,21.835817575521432,mlp,GVA,Birmingham International,GVA-Birmingham International
80.86387757842418,93.15674188714046,32.25772270208015,random_forest,ZRH,Casablanca Mohamed V,ZRH-Casablanca Mohamed V
69.85582733154297,87.14634526397847,25.600625252498883,xgboost,ZRH,Casablanca Mohamed V,ZRH-Casablanca Mohamed V
74.72505667750018,104.05863085888957,27.237678186405184,mlp,ZRH,Casablanca Mohamed V,ZRH-Casablanca Mohamed V
