route,origin,destination,cluster
ZRH-Jorge Chávez International,ZRH,Jorge Chávez International,1
ZRH-Kathmandu,ZRH,Kathmandu,1
ZRH-Kenya,ZRH,Kenya,1
ZRH-Kiev Borispol,ZRH,Kiev Borispol,1
ZRH-Koh Samui,ZRH,Koh Samui,1
ZRH-Kuala Lumpur.International,ZRH,Kuala Lumpur.International,1
ZRH-Köln Bonn,ZRH,Köln Bonn,1
ZRH-Lanzarote,ZRH,Lanzarote,1
ZRH-Las Palmas,ZRH,Las Palmas,1
ZRH-Leipzig,ZRH,Leipzig,1
ZRH-Liberia/Daniel Oduber Quiros,ZRH,Liberia/Daniel Oduber Quiros,1
ZRH-London City,ZRH,London City,1
ZRH-London Gatwick,ZRH,London Gatwick,1
ZRH-London Heathrow,ZRH,London Heathrow,1
ZRH-Luxembourg,ZRH,Luxembourg,1
ZRH-Lyon Satolas,ZRH,Lyon Satolas,1
ZRH-Madrid Barajas,ZRH,Madrid Barajas,1
ZRH-Mahe Island,ZRH,Mahe Island,1
ZRH-Malaysia,ZRH,Malaysia,1
ZRH-Maldives,ZRH,Maldives,1
ZRH-Male,ZRH,Male,1
ZRH-Manchester International,ZRH,Manchester International,1
ZRH-Manila Ninoy Aquino International,ZRH,Manila Ninoy Aquino International,1
ZRH-Marrakech,ZRH,Marrakech,1
ZRH-Mauritius,ZRH,Mauritius,1
ZRH-Melbourne,ZRH,Melbourne,1
ZRH-Mexico,ZRH,Mexico,1
ZRH-Mexico City Benito Juarez Intl,ZRH,Mexico City Benito Juarez Intl,1
ZRH-Miami International,ZRH,Miami International,1
ZRH-Milano Malpensa,ZRH,Milano Malpensa,1
ZRH-Montego Bay,ZRH,Montego Bay,1
ZRH-Morocco,ZRH,Morocco,1
ZRH-Moskva Sheremetyevo,ZRH,Moskva Sheremetyevo,1
ZRH-Muscat,ZRH,Muscat,1
ZRH-Myanmar,ZRH,Myanmar,1
ZRH-München Franz Joseph Strauss,ZRH,München Franz Joseph Strauss,1
ZRH-Nepal,ZRH,Nepal,1
ZRH-Netherlands,ZRH,Netherlands,1
ZRH-New Zealand,ZRH,New Zealand,1
ZRH-Nürnberg,ZRH,Nürnberg,1
ZRH-Oceania,ZRH,Oceania,1
ZRH-Oman,ZRH,Oman,1
ZRH-Other airports: Africa,ZRH,Other airports: Africa,1
ZRH-Other airports: America,ZRH,Other airports: America,1
ZRH-Other airports: Brazil,ZRH,Other airports: Brazil,1
ZRH-Other airports: Cabo Verde,ZRH,Other airports: Cabo Verde,1
ZRH-Other airports: Cambodia,ZRH,Other airports: Cambodia,1
ZRH-Other airports: Colombia,ZRH,Other airports: Colombia,1
ZRH-Other airports: Denmark,ZRH,Other airports: Denmark,1
ZRH-Other airports: Dominican Republic,ZRH,Other airports: Dominican Republic,1
ZRH-Other airports: India,ZRH,Other airports: India,1
ZRH-Other airports: Malaysia,ZRH,Other airports: Malaysia,1
ZRH-Other airports: Myanmar,ZRH,Other airports: Myanmar,1
ZRH-Other airports: New Zealand,ZRH,Other airports: New Zealand,1
ZRH-Other airports: Oceania,ZRH,Other airports: Oceania,1
ZRH-Other airports: Oman,ZRH,Other airports: Oman,1
ZRH-Other airports: Philippines,ZRH,Other airports: Philippines,1
ZRH-Other airports: South Africa,ZRH,Other airports: South Africa,1
ZRH-Other airports: Thailand,ZRH,Other airports: Thailand,1
ZRH-Other airports: United Arab Emirates,ZRH,Other airports: United Arab Emirates,1
ZRH-Panama,ZRH,Panama,1
ZRH-Panama City Tocumen Internationl,ZRH,Panama City Tocumen Internationl,1
ZRH-Paris Charles De Gaulle,ZRH,Paris Charles De Gaulle,1
ZRH-Perth,ZRH,Perth,1
ZRH-Peru,ZRH,Peru,1
ZRH-Philippines,ZRH,Philippines,1
ZRH-Punta Cana,ZRH,Punta Cana,1
ZRH-Rio De Janeiro International,ZRH,Rio De Janeiro International,1
ZRH-Russia,ZRH,Russia,1
ZRH-San Jose Juan Santamaria,ZRH,San Jose Juan Santamaria,1
ZRH-Santa Cruz De La Palma,ZRH,Santa Cruz De La Palma,1
ZRH-Santiago Comodoro Arturo Merino Ben,ZRH,Santiago Comodoro Arturo Merino Ben,1
ZRH-Santo Domingo Las Americas,ZRH,Santo Domingo Las Americas,1
ZRH-Sao Paulo Guarulhos Int,ZRH,Sao Paulo Guarulhos Int,1
ZRH-Senegal,ZRH,Senegal,1
ZRH-Sevilla,ZRH,Sevilla,1
ZRH-Seychelles,ZRH,Seychelles,1
ZRH-Sharm El Sheikh International,ZRH,Sharm El Sheikh International,1
ZRH-Shenzhen.Baoan,ZRH,Shenzhen.Baoan,1
ZRH-Singapore,ZRH,Singapore,1
ZRH-Singapore Changi,ZRH,Singapore Changi,1
ZRH-South Africa,ZRH,South Africa,1
ZRH-Sri Lanka,ZRH,Sri Lanka,1
ZRH-Stuttgart,ZRH,Stuttgart,1
ZRH-Suvarnabhumi Bangkok International,ZRH,Suvarnabhumi Bangkok International,1
ZRH-Sydney Kingsford Smith,ZRH,Sydney Kingsford Smith,1
ZRH-Tenerife Sur Reina Sofia,ZRH,Tenerife Sur Reina Sofia,1
ZRH-Thailand,ZRH,Thailand,1
ZRH-Tromsö,ZRH,Tromsö,1
ZRH-Ukraine,ZRH,Ukraine,1
ZRH-United Arab Emirates,ZRH,United Arab Emirates,1
ZRH-United Kingdom,ZRH,United Kingdom,1
ZRH-Varadero/Juan G. Gomez Intl,ZRH,Varadero/Juan G. Gomez Intl,1
ZRH-Vietnam,ZRH,Vietnam,1
ZRH-Wien,ZRH,Wien,1
ZRH-Wroclaw,ZRH,Wroclaw,1
ZRH-Yaoundé Nsimalen International,ZRH,Yaoundé Nsimalen International,1
GVA-Ajaccio,GVA,Ajaccio,2
